timestamp,open,high,low,close,volume
2019-10-25,537.1000,559.4800,533.9600,549.8100,1238767
2019-10-18,552.9800,572.9300,534.1500,536.2700,1728892
2019-10-11,556.1200,560.9800,522.6900,554.2100,1950936
2019-10-04,545.8400,568.0900,531.0100,559.2200,1528521
2019-09-27,544.3100,554.9800,531.9500,541.5200,1843819
2019-09-20,557.5500,561.0000,530.7600,547.9700,2470618
2019-09-13,608.4000,608.4000,536.2600,566.8300,3118321
2019-09-06,587.1900,612.8300,573.9200,597.7900,1305402
2019-08-30,605.9700,614.7900,578.8500,594.6000,1909496
2019-08-23,637.4400,639.6900,595.0000,598.1800,2011444
2019-08-16,612.5600,656.1400,585.7350,624.5300,3796329
2019-08-09,598.5200,698.9800,567.3900,690.1000,3776544
2019-08-02,656.1300,658.3000,609.6000,614.7100,2004811
2019-07-26,631.4000,666.1800,623.3000,654.7100,2271588
2019-07-19,649.2500,660.6300,623.2600,626.7000,2652908
2019-07-12,635.7100,654.1689,619.5000,644.7900,2390649
2019-07-05,627.1900,641.5700,612.3800,638.1800,1435053
2019-06-28,633.8800,637.3700,603.1000,611.7700,2157635
2019-06-21,620.9300,672.5500,612.2400,630.6500,2352997
2019-06-14,625.8900,635.7100,608.3300,616.0000,2835841
2019-06-07,567.5900,618.0000,544.4406,604.4900,3812736
2019-05-31,596.0000,611.9550,560.4131,570.5200,2453437
2019-05-24,572.9900,595.6800,563.0000,592.5500,2467709
2019-05-17,540.0200,596.7000,539.1553,574.5700,3157339
2019-05-10,565.5800,580.4300,520.8700,557.8400,2984588
2019-05-03,489.6700,589.5643,478.7801,578.9400,3912864
2019-04-26,490.8000,504.9450,460.0000,489.5200,3520972
2019-04-18,503.0300,518.5800,477.0300,492.0000,2131897
2019-04-12,503.8400,516.9100,496.6200,504.5200,1544682
2019-04-05,516.2800,527.0900,490.8650,502.8500,3098284
2019-03-29,497.2000,511.4900,479.1300,507.7300,2469301
2019-03-22,490.0000,506.3200,479.0000,497.3700,3500527
2019-03-15,455.2300,514.8969,450.8500,488.7300,8101286
2019-03-08,455.8800,478.5950,436.4500,449.5900,3783780
2019-03-01,375.2300,474.8400,362.5101,451.6400,6499503
2019-02-22,362.6100,374.3100,358.0709,374.0600,1619911
2019-02-15,350.0000,367.8600,346.9900,363.1000,1932188
2019-02-08,361.8500,374.9700,338.9500,347.8200,2551308
2019-02-01,338.1200,368.2700,335.2800,364.6600,2726670
2019-01-25,340.9900,347.5100,322.8200,342.8800,1968301
2019-01-18,340.7000,353.9700,335.1100,350.6600,2421514
2019-01-11,315.7300,348.4585,315.7300,344.9500,2611503
2019-01-04,295.0000,317.9700,282.8800,315.3300,1910251
2018-12-28,281.9200,299.8100,257.5200,292.0900,3351655
2018-12-21,324.7900,330.8500,285.5800,286.5600,3650908
2018-12-14,345.0200,366.1200,324.1300,326.5200,2745246
2018-12-07,360.9100,374.8400,340.2600,346.5600,2498505
2018-11-30,316.7900,362.0300,314.1184,351.9700,3225641
2018-11-23,341.1600,343.9400,308.5300,309.8200,2828684
2018-11-16,325.6900,347.5900,318.4100,344.6100,2682665
2018-11-09,353.5900,360.4900,318.4363,325.6900,2525246
2018-11-02,300.9800,368.8400,281.3000,354.3900,5074794
2018-10-26,305.9900,318.1400,287.2800,295.3700,2904417
2018-10-19,303.2800,319.0300,291.5050,301.8700,3988034
2018-10-12,348.9400,351.4100,295.4000,303.4200,4736824
2018-10-05,343.8400,362.3300,330.2900,335.6400,3884623
2018-09-28,317.0000,346.1000,313.3400,340.4700,4298268
2018-09-21,323.9300,331.9900,310.6507,319.6800,3322730
2018-09-14,327.7200,332.8310,310.7935,325.0400,2968007
2018-09-07,340.0000,345.6000,317.7700,326.5000,3524612
2018-08-31,370.9800,381.8989,336.5500,342.4100,4590526
2018-08-24,323.8300,373.1150,315.1526,367.5400,5817614
2018-08-17,371.9500,371.9500,321.5700,324.2000,3727785
2018-08-10,342.8200,394.9200,337.1900,372.3500,4991736
2018-08-03,355.9700,356.6202,335.0800,343.8800,3069412
2018-07-27,373.8000,374.9800,350.2200,354.5700,3109165
2018-07-20,328.7600,381.5000,326.2617,373.4600,6515649
2018-07-13,314.1600,329.1500,300.0000,327.6800,3222674
2018-07-06,294.1500,314.8700,291.0600,312.9100,1750364
2018-06-29,287.4800,305.8700,281.7900,298.9300,3467594
2018-06-22,300.0000,305.3585,285.0300,290.8600,3487706
2018-06-15,288.2800,309.8000,287.2100,303.8200,5520497
2018-06-08,297.2800,321.0400,282.2600,288.8000,4785757
2018-06-01,308.1300,308.2600,281.0000,296.6600,5127955
2018-05-25,295.8200,319.5400,287.5300,314.7000,4785924
2018-05-18,310.6300,314.7800,284.3700,295.3700,4976227
2018-05-11,332.6900,342.1900,305.9800,309.0100,5072151
2018-05-04,340.7900,346.1500,325.4700,329.9700,2773133
2018-04-27,325.1700,354.0000,323.7150,341.1700,3430391
2018-04-20,331.2800,347.9690,313.5450,324.4900,4626689
2018-04-13,345.0000,352.7760,326.0000,329.6700,4305376
2018-04-06,348.2600,362.6863,332.8500,342.5400,2551654
2018-03-29,352.3500,363.3900,335.1300,356.3900,3232655
2018-03-23,374.7400,383.9500,340.0100,344.7300,3759351
2018-03-16,414.8100,417.9100,373.3500,378.4400,2739249
2018-03-09,387.6100,415.6590,382.9800,413.9400,3426276
2018-03-02,388.6600,399.3400,372.2400,388.9600,3827140
2018-02-23,368.9900,390.5500,356.0900,387.2600,3679851
2018-02-16,339.0700,383.2600,339.0700,369.8700,3084760
2018-02-09,363.1000,374.4550,320.2000,335.8600,4988978
2018-02-02,382.1000,395.6650,367.0010,368.3900,3092752
2018-01-26,355.5000,383.6900,343.3500,381.8600,2946334
2018-01-19,345.9400,348.1700,338.4100,345.3100,2160771
2018-01-12,328.1200,344.5200,327.6600,342.4700,2052373
2018-01-05,317.4900,336.4850,316.2700,330.8700,1789467
2017-12-29,314.3500,323.3500,312.6900,314.6600,1999910
2017-12-22,322.8100,334.9900,311.0400,314.8300,3542558
2017-12-15,276.0500,329.0000,276.0000,318.9100,5345154
2017-12-08,275.0000,281.3500,267.0100,276.4500,3174339
2017-12-01,272.3800,282.5500,263.7100,272.9100,3570892
2017-11-24,268.6000,272.6000,263.4300,271.3800,1437441
2017-11-17,265.2300,273.6750,258.0600,269.7300,2623759
2017-11-10,265.6300,274.4500,250.8300,270.8700,4028632
2017-11-03,232.0200,273.7800,229.6300,267.3500,5770376
2017-10-27,227.5600,238.8200,217.0600,236.0500,5116808
2017-10-20,245.1100,248.9000,228.7400,235.7300,6208250
2017-10-13,268.8200,276.0454,241.5050,244.9000,6079104
2017-10-06,258.9200,272.7100,256.2700,268.8200,2955916
2017-09-29,279.7300,279.8200,257.8400,258.9300,3392338
2017-09-22,282.9500,296.3500,279.2700,279.4600,2879699
2017-09-15,265.0800,295.6800,265.0700,282.7100,4048824
2017-09-08,252.6000,262.2500,251.5100,259.9800,1836983
2017-09-01,246.6700,259.4000,238.2500,251.9100,3871437
2017-08-25,235.2900,249.9500,235.2900,246.4100,3012401
2017-08-18,243.2000,243.2000,232.7200,236.1400,3554554
2017-08-11,258.0600,265.5000,232.1700,240.1600,6913190
2017-08-04,291.4400,293.8645,258.1200,260.4700,7653124
2017-07-28,280.9700,290.9920,275.9000,288.8700,4002336
2017-07-21,274.0000,284.0100,272.7600,280.2600,2677141
2017-07-14,256.9900,276.0000,253.1500,273.5800,3201153
2017-07-07,254.0300,257.9000,245.5000,255.6000,2217691
2017-06-30,276.0900,278.6900,247.4800,250.8800,3301792
2017-06-23,268.3500,280.3400,264.8100,275.2300,2809398
2017-06-16,273.9700,275.6350,255.1500,263.4500,4395550
2017-06-09,277.4300,293.3300,268.4300,275.0700,2301324
2017-06-02,288.0000,288.4400,272.1100,280.3700,2639710
2017-05-26,275.5000,295.5000,273.6500,286.9500,2780500
2017-05-19,289.7900,297.9500,248.2000,272.5700,5608502
2017-05-12,275.0000,292.3400,273.0300,287.2800,3562068
2017-05-05,230.5900,275.5500,229.0900,275.1600,3247852
2017-04-28,225.5900,234.6600,223.9350,228.9100,1803742
2017-04-21,218.0700,226.2100,216.0000,223.8200,1439524
2017-04-13,220.0100,221.3500,214.0000,215.4600,1416906
2017-04-07,210.7800,221.9800,210.7800,219.1000,2471053
2017-03-31,209.3000,217.1250,207.4783,211.4700,1513683
2017-03-24,212.7300,218.7500,203.3600,210.8600,2425152
2017-03-17,211.8000,215.9600,209.5500,211.2900,1887390
2017-03-10,212.8200,214.0600,208.6800,211.2900,1487749
2017-03-03,208.0300,216.7000,204.1450,212.7600,2041956
2017-02-24,200.4300,207.7900,190.0700,207.7900,2562257
2017-02-17,196.0000,201.1600,192.6600,198.4300,1533435
2017-02-10,189.1600,195.4700,189.1500,195.2800,1725867
2017-02-03,183.9000,191.7700,180.2200,190.1500,1655828
2017-01-27,176.8000,185.7900,176.3300,182.6300,1480293
2017-01-20,177.0100,178.8200,172.8500,176.1700,1761280
2017-01-13,172.6100,180.7200,172.6100,176.4500,2070845
2017-01-06,158.9100,173.0000,157.9500,172.1600,2379735
2016-12-30,156.7500,160.7100,154.9200,156.1400,1178607
2016-12-23,155.7400,158.7200,150.2900,156.6600,1946062
2016-12-16,158.3700,161.4100,152.2400,154.9700,2040326
2016-12-09,152.0000,168.1400,152.0000,158.6100,3921677
2016-12-02,163.0000,164.5800,148.9800,152.5600,5244318
2016-11-25,159.2100,168.4000,157.8500,163.1900,2379880
2016-11-18,155.9600,160.6200,150.1400,157.6300,3588897
2016-11-11,170.2100,176.1000,150.6400,155.9600,4643747
2016-11-04,169.1500,172.0600,164.6700,166.8900,3572434
2016-10-28,175.1800,175.7800,165.6200,168.1600,1961974
2016-10-21,167.4700,174.1100,166.1000,173.9300,3761617
2016-10-14,191.6100,193.5800,166.0000,167.0400,6608546
2016-10-07,185.4500,190.2200,182.9100,189.8300,1213107
2016-09-30,186.9000,188.4242,183.2450,184.9700,1078332
2016-09-23,178.7300,191.7579,177.0000,187.0900,1986516
2016-09-16,178.0000,179.9000,171.6500,177.2000,1848848
2016-09-09,187.7000,188.5800,178.7000,179.2300,2149031
2016-09-02,167.0100,188.1300,166.1100,186.1600,3510314
2016-08-26,166.7900,168.3800,164.5400,166.9500,2101385
2016-08-19,170.0900,172.4300,165.7800,167.6900,2315892
2016-08-12,173.6300,173.9000,168.0000,168.8600,2353160
2016-08-05,153.1200,174.2750,148.7100,172.9800,2753109
2016-07-29,153.2400,154.9800,149.3800,153.0800,999788
2016-07-22,149.1100,155.8400,147.3500,154.2400,1769352
2016-07-15,146.5800,152.5100,146.5800,148.4700,1915299
2016-07-08,138.9100,146.4900,136.7050,146.2200,1041933
2016-07-01,130.7400,142.3500,126.1000,139.8100,1893699
2016-06-24,135.9800,139.5400,131.2800,132.0300,1397290
2016-06-17,133.3000,135.8500,131.3100,133.7500,1285627
2016-06-10,136.1800,140.5900,133.7200,134.2900,2151258
2016-06-03,135.9700,138.2800,134.0200,135.7500,1545148
2016-05-27,133.4800,135.9200,131.8600,135.0800,1640876
2016-05-20,127.7000,134.1700,127.5100,133.8900,2301179
2016-05-13,127.0400,131.4500,126.7300,127.5300,1748154
2016-05-06,124.9000,131.0000,122.4100,128.0300,2813479
2016-04-29,126.2500,127.9400,122.3000,124.8900,1674688
2016-04-22,126.2300,130.6200,125.0000,126.4100,1777179
2016-04-15,118.7500,128.3500,116.0900,127.3400,2131270
2016-04-08,120.8200,122.1500,115.8050,117.8500,1555750
2016-04-01,113.3400,121.1600,112.0700,120.6200,2683271
2016-03-24,113.8500,117.0300,111.1200,112.8900,1904643
2016-03-18,115.4300,116.9300,110.8700,114.7000,2561897
2016-03-11,108.6700,115.9900,106.6900,115.6500,2895799
2016-03-04,97.9600,110.2200,96.6000,108.8800,3297499
2016-02-26,101.4800,104.9400,94.5600,97.5600,4708914
2016-02-19,93.7600,101.3100,92.9500,100.4800,1904047
2016-02-12,88.0000,93.4300,84.1940,91.9500,2229178
2016-02-05,97.7200,99.6200,89.0100,90.2500,2704903
2016-01-29,100.8100,101.8500,96.1100,98.2400,2577300
2016-01-22,98.3100,103.1800,90.1000,101.1500,3483030
2016-01-15,102.0000,107.4140,94.7800,96.4000,4034014
2016-01-08,112.3600,112.8400,100.8600,101.0900,2466135
2015-12-31,114.3600,115.5589,111.6900,114.3400,981846
2015-12-24,112.6200,114.8800,110.1700,114.0900,998691
2015-12-18,114.1500,120.4200,110.5000,111.5600,2275979
2015-12-11,121.2900,122.2000,113.0200,114.1100,2035456
2015-12-04,125.4400,126.3400,118.6700,121.7800,2189261
2015-11-27,121.8300,127.7692,121.6100,125.1400,1898264
2015-11-20,118.4300,122.6300,117.5000,121.3500,2261712
